section,parameter,value,control,seed,config_hash,engine_version,measurement_version,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,lineage_count,genotype_count,mutation_events,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error,death_reasons,ledger,result_checksum
control,,,baseline,1,7d6516f717c33885,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,22,3,31,1,4,1,3,4,3,2,2313,3,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 1, ""vm_fault:invalid_program_address:8"": 2}","{""energy_captured"": 21030.05, ""energy_execution"": 115.65, ""energy_input"": 20000.0, ""energy_maintenance"": 12346.2, ""energy_released_on_death"": 30.05, ""energy_reproduction_cost"": 264.0, ""energy_transferred_to_offspring"": 176.0}",77ce431d1686a9cb43dd503952991a778d28213bfbd5adbe56d8b4820a3a4b02
control,,,baseline,2,e42bf3936a091ecc,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,21,2,31,2,4,1,3,4,3,2,2232,2,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 2}","{""energy_captured"": 21019.2, ""energy_execution"": 111.6, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 19.2, ""energy_reproduction_cost"": 252.0, ""energy_transferred_to_offspring"": 168.0}",230f21002a38935215882746819995b244746f5629c45bd4ea946b4f777eec87
control,,,baseline,3,0dc1464b063c732c,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,1,2,1,1,2,1,2,3462,0,31,31,0,0.0,496,4,-1.02e-08,"{""energy_exhausted_maintenance"": 1}","{""energy_captured"": 21000.0, ""energy_execution"": 173.1, ""energy_input"": 20000.0, ""energy_maintenance"": 12351.8, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",5bf01132d9f6f3a1f487fc8339b262a4fab0b84e6fc07ffbb2f15c305cf9e3e2
control,,,baseline,4,6d37390f4cf389c3,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",6641978f65152a7e143ab7bb3f1d624330f0164d9a831f8818ea2645bd0824aa
control,,,baseline,5,2f24b36eab269c10,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",9d2ea2309aa0a7dcf06cdb3d8d8972ff98286ddb51fed5dc6e3974ce73c28af4
control,,,baseline,6,16a81a341d274537,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,1,2,1,1,2,1,2,2149,1,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 1}","{""energy_captured"": 21008.45, ""energy_execution"": 107.45, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 8.45, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",b818e075ae67553041d654c3de223ee190a2aa493839f13774c03e44b5c1e710
control,,,baseline,7,36ad6da380056418,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,1,2,1,1,2,1,2,2149,1,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 1}","{""energy_captured"": 21008.45, ""energy_execution"": 107.45, ""energy_input"": 20000.0, ""energy_maintenance"": 12348.6, ""energy_released_on_death"": 8.45, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",45e89c41fd1413a8af84b8ee9b19b0e7eec8f11e0966277af193ed93fa6217c3
control,,,baseline,8,e06f904adf74a3d2,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,3,4,2,3,4,3,2,3157,0,30,30,0,0.0,496,4,-1.02e-08,"{""energy_exhausted_execution"": 1}","{""energy_captured"": 21000.0, ""energy_execution"": 157.65, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",a4b791f7c0893a733268929c91eb581ecdd2dfd10a5b37631c9e450aba208a7e
control,,,baseline,9,1ae1f50134bf085d,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,21,2,31,1,3,1,2,3,2,2,3109,1,31,31,0,0.0,496,4,-1.02e-08,"{""energy_exhausted_maintenance"": 1, ""vm_fault:invalid_register:7"": 1}","{""energy_captured"": 21008.55, ""energy_execution"": 155.45, ""energy_input"": 20000.0, ""energy_maintenance"": 12348.4, ""energy_released_on_death"": 8.55, ""energy_reproduction_cost"": 252.0, ""energy_transferred_to_offspring"": 168.0}",332b929fb15610e09b2801596ec7bfa9a3736e53460d3cc4d2a6aecbf74d52c5
control,,,baseline,10,a791c95105f7560e,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,1,2,1,1,2,1,2,2142,1,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:invalid_register:8"": 1}","{""energy_captured"": 21008.8, ""energy_execution"": 107.1, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 8.8, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",d8d767ae6ef78e057a50efe8c19e3eaaf9d39a822200da62e85b463ca3d8d97f
control,,,baseline,11,0198bf9d5210f796,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",62bc4ab9cf65adffd87ad89669b12756076a3bda4333b804f54209d073eda58c
control,,,baseline,12,2e3f6d80a2a8240a,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,2,3,1,2,3,2,2,2183,1,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 1}","{""energy_captured"": 21010.75, ""energy_execution"": 109.15, ""energy_input"": 20000.0, ""energy_maintenance"": 12349.6, ""energy_released_on_death"": 10.75, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",523d7669427640fdb9ba8d8a2ca36ececc76fe731b9497d66fda54c7b8e58d35
control,,,baseline,13,1e7a16db551e1de5,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,23,4,31,1,5,1,4,5,4,2,2343,4,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 2, ""vm_fault:instruction_pointer_out_of_bounds:8"": 1, ""vm_fault:invalid_register:8"": 1}","{""energy_captured"": 21037.85, ""energy_execution"": 117.15, ""energy_input"": 20000.0, ""energy_maintenance"": 12342.4, ""energy_released_on_death"": 37.85, ""energy_reproduction_cost"": 276.0, ""energy_transferred_to_offspring"": 184.0}",4ef4da1efc78acf517e30d70996a73d3c18aabbaf40d935de799c8e13d4eabfe
